Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2021-05-11 12:22:32,11.05.2021,*7197,OK,-90.0,RUB,-90.0,RUB,,Супермаркеты,5499.0,Produkty,1,0,90.0
2021-05-11 12:14:46,11.05.2021,*7197,OK,-70.0,RUB,-70.0,RUB,,Фастфуд,5814.0,Goryachaya Vypechka,1,0,70.0
2021-05-11 11:03:49,11.05.2021,*7197,OK,-35.0,RUB,-35.0,RUB,,Супермаркеты,5499.0,IP Morozova S Yu,0,0,35.0
2021-05-11 11:01:38,11.05.2021,,OK,-105.0,RUB,-105.0,RUB,,Переводы,,Ольга И.,0,0,105.0
2021-05-11 10:56:57,11.05.2021,*7197,OK,-35.0,RUB,-35.0,RUB,,Супермаркеты,5499.0,IP Morozova S Yu,0,0,35.0
2021-05-11 07:05:48,11.05.2021,*4556,OK,-700.0,RUB,-700.0,RUB,35.0,Ж/д билеты,4112.0,Avtostantsiya Opochka,35,0,700.0
2021-05-11 07:03:51,12.05.2021,*7197,OK,332.5,RUB,332.5,RUB,,Ж/д билеты,4112.0,Avtostantsiya Opochka,-6,0,332.5
2021-05-11 07:02:41,12.05.2021,*7197,OK,332.5,RUB,332.5,RUB,,Ж/д билеты,4112.0,Avtostantsiya Opochka,-6,0,332.5
2021-05-10 14:25:10,10.05.2021,*7197,OK,-209.6,RUB,-209.6,RUB,,Супермаркеты,5411.0,IP Gorskaya Vv,4,0,209.6
2021-05-10 14:23:33,10.05.2021,*7197,OK,-201.0,RUB,-201.0,RUB,,Супермаркеты,5411.0,IP Gorskaya Vv,4,0,201.0
2021-05-10 12:41:07,10.05.2021,*7197,OK,-700.0,RUB,-700.0,RUB,,Ж/д билеты,4112.0,Avtostantsiya Opochka,14,0,700.0
2021-05-08 14:13:34,08.05.2021,*4556,OK,-114.0,RUB,-114.0,RUB,1.0,Красота,5977.0,OOO Balid,1,0,114.0
2021-05-08 12:13:04,08.05.2021,*4556,OK,-208.0,RUB,-208.0,RUB,2.0,Красота,5977.0,OOO Balid,2,0,208.0
2021-05-07 16:44:57,07.05.2021,*4556,OK,-2900.0,RUB,-2900.0,RUB,,Переводы,6012.0,Перевод на карту,0,0,2900.0
2021-05-07 14:26:19,07.05.2021,*7197,OK,-270.27,RUB,-270.27,RUB,,Супермаркеты,5499.0,DIVAGE,5,0,270.27
2021-05-07 13:13:39,07.05.2021,*7197,OK,-74.19,RUB,-74.19,RUB,,Супермаркеты,5411.0,Магнит,1,0,74.19
2021-05-05 13:37:20,07.05.2021,*7197,OK,-511.0,RUB,-511.0,RUB,,Транспорт,4121.0,Яндекс Такси,10,0,511.0
2021-05-05 13:26:57,06.05.2021,*7197,OK,-200.0,RUB,-200.0,RUB,,Госуслуги,9399.0,Whsd Centr,4,0,200.0
2021-05-05 13:12:59,05.05.2021,,OK,-300.0,RUB,-300.0,RUB,,Переводы,6012.0,Перевод на карту,0,0,300.0
2021-05-04 20:55:46,05.05.2021,*4556,OK,-557.0,RUB,-557.0,RUB,27.0,Аптеки,5912.0,Apteka2965 Antares,27,0,557.0
2021-05-04 20:51:34,05.05.2021,*7197,OK,-141.1,RUB,-141.1,RUB,,Различные товары,5331.0,Улыбка радуги,2,0,141.1
2021-05-04 18:25:29,04.05.2021,*7197,OK,-60.0,RUB,-60.0,RUB,,Рестораны,5812.0,Kebab 24 Mm,1,0,60.0
2021-05-04 12:23:03,04.05.2021,*7197,OK,-64.0,RUB,-64.0,RUB,,Фастфуд,5814.0,McDonald's,1,0,64.0
2021-05-04 12:11:47,04.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
2021-05-03 21:46:04,04.05.2021,*7197,OK,-485.97,RUB,-485.97,RUB,,Супермаркеты,5411.0,Магнит,9,0,485.97
2021-05-03 21:39:35,04.05.2021,*4556,OK,-95.0,RUB,-95.0,RUB,4.0,Аптеки,5912.0,Apteka2965 Antares,4,0,95.0
2021-05-03 19:45:05,03.05.2021,*7197,OK,-169.26,RUB,-169.26,RUB,,Супермаркеты,5411.0,Магнит,3,0,169.26
2021-05-03 15:21:15,03.05.2021,*7197,OK,-129.0,RUB,-129.0,RUB,,Фастфуд,5814.0,IP Yakubovskaya M.V.,2,0,129.0
2021-05-02 16:11:03,02.05.2021,*4556,OK,-250.0,RUB,-250.0,RUB,,Связь,4814.0,МТС,0,0,250.0
2021-05-02 14:51:52,03.05.2021,*7197,OK,-172.0,RUB,-172.0,RUB,,Транспорт,4111.0,Северо-Западная пригородная пассажирская компания,3,0,172.0
2021-05-02 10:16:02,02.05.2021,*7197,OK,-674.24,RUB,-674.24,RUB,,Супермаркеты,5411.0,Магнит,13,0,674.24
2021-05-02 10:04:05,02.05.2021,*7197,OK,-105.73,RUB,-105.73,RUB,,Супермаркеты,5411.0,Колхоз,2,0,105.73
2021-05-01 20:20:45,01.05.2021,*7197,OK,-326.31,RUB,-326.31,RUB,,Супермаркеты,5411.0,Магнит,6,0,326.31
2021-05-01 20:12:43,01.05.2021,*7197,OK,-128.0,RUB,-128.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,128.0
2021-05-01 15:52:08,01.05.2021,*7197,OK,-11.8,RUB,-11.8,RUB,,Супермаркеты,5411.0,Магнит,0,0,11.8
2021-05-01 13:57:31,01.05.2021,*7197,OK,-64.0,RUB,-64.0,RUB,,Фастфуд,5814.0,McDonald's,1,0,64.0
2021-05-01 12:49:30,01.05.2021,*4556,OK,-1675.8,RUB,-1675.8,RUB,83.0,Ж/д билеты,4112.0,РЖД,83,0,1675.8
2021-05-01 12:25:11,01.05.2021,*7197,OK,-53.99,RUB,-53.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,53.99
2021-05-01 12:16:18,01.05.2021,*7197,OK,-149.97,RUB,-149.97,RUB,,Супермаркеты,5411.0,Дикси,2,0,149.97
2021-05-01 12:02:15,01.05.2021,*7197,OK,-146.0,RUB,-146.0,RUB,,Супермаркеты,5411.0,Колхоз,2,0,146.0
